Prompt,Prompt RU origin,Prompt RU,Job,Job RU,Metric
Draft a will,Составь завещание.,Составь завещание.,Legal Service,Юриспруденция,7.85
"Craft a guide on legal considerations in affiliate marketing, such as disclosure and contracts.","Составь руководство по юридическим аспектам партнерского маркетинга, таким как раскрытие информации и контракты.","Составь руководство по юридическим аспектам партнерского маркетинга, такие как раскрытие информации и контракты.",Legal Service,Юриспруденция,7.79
Draft a divorce agreement,Составь проект соглашения о разводе.,Составь проект соглашения о разводе.,Legal Service,Юриспруденция,7.76
Draft a power of attorney form,Составь форму доверенности.,Составь форму доверенности.,Legal Service,Юриспруденция,7.7
Write me an excel formula to use the DATEVALUE and TIMEVALUE function to convert a date and time text string into a date and time serial number,Напиши формулу excel для использования функций DATEVALUE и TIMEVALUE для преобразования текстовой строки даты и времени в порядковый номер даты и времени.,Напиши формулу excel для использования функций DATEVALUE и TIMEVALUE для преобразования текстовой строки даты и времени в порядковый номер даты и времени.,Legal Service,Юриспруденция,7.66
"Provide tips and strategies for negotiating salary and benefits if offered <details of the job position, field, and company, plus the initial salary and benefits offered>. Additionally, please guide me on how to research and determine a reasonable salary range and how to approach the negotiation process professionally and effectively.","Дай советы и стратегии по ведению переговоров о зарплате и льготах в случае предложения <подробные сведения о должности, сфере деятельности и компании, а также о первоначальной зарплате и предлагаемых льготах>. Кроме того, подскажи, как изучить и определить разумный диапазон заработной платы и как профессионально и эффективно подойти к процессу переговоров.","Дай советы и стратегии по ведению переговоров о зарплате и льготах в случае предложения <подробные сведения о должности, сфере деятельности и компании, а также о первоначальной зарплате и предлагаемых льготах>. Кроме того, подскажи, как изучить и определить разумный диапазон заработной платы и как профессионально и эффективно подойти к процессу переговоров.",Legal Service,Юриспруденция,7.63
Identify [number] consumer pain points in [industry],Определи [количество] болевых точек потребителей в [отрасли].,Определи количество болевых точек потребителей в отрасли.,Legal Service,Юриспруденция,7.58
Please provide me with some guidance on how to structure my cover letter to make it stand out and grab the reader’s attention. Here is my cover letter: <your cover letter>. Here is the job description I’m targeting: <job description>. The reader is <details about the reader>.,"Дай мне рекомендации по структуре моего сопроводительного письма, чтобы оно выделялось и привлекало внимание читателя. Вот мое сопроводительное письмо: <ваше сопроводительное письмо>. Вот описание вакансии, на которую я ориентируюсь: <описание вакансии>. Читатель - это <подробные сведения о читателе>.","Дай мне рекомендации по структуре моего сопроводительного письма, чтобы оно выделялось и привлекало внимание читателя. Вот мое сопроводительное письмо: <составь сопроводительное письмо>. Вот описание вакансии, на которую я ориентируюсь: <составь описание вакансии>. Читатель - это <подробные сведения о читателе>.",Legal Service,Юриспруденция,7.56
Write a [number of words] whitepaper on the future of [industry/field related to product/service],"Напиши [количество слов] аналитическую записку о будущем [отрасль/область, связанная с продуктом/услугой].","Составь аналитическую записку о будущем [отрасль/область, связанная с продуктом/услугой].",Legal Service,Юриспруденция,7.56
Generate interview questions for hiring a new associate lawyer specialized in criminal defense.,"Составь вопросы для интервью при приеме на работу нового младшего юриста, специализирующегося на уголовной защите.","Составь вопросы для интервью при приеме на работу нового младшего юриста, специализирующегося на уголовной защите.",Legal Service,Юриспруденция,7.56
Draft a non-disclosure agreement (NDA) between [party 1] and [party 2],Составь соглашение о неразглашении информации (NDA) между [сторона 1] и [сторона 2].,Составьте соглашение о неразглашении информации (NDA) между [сторона 1] и [сторона 2].,Legal Service,Юриспруденция,7.55
"How can affiliate marketers identify and avoid fraudulent or scam affiliate programs, and what steps can they take to protect themselves and their audience?","Расскажи, как маркетологи партнерских программ могут выявить и избежать мошеннических партнерских программ, и какие шаги они могут предпринять, чтобы защитить себя и свою аудиторию?","Расскажи, как маркетологи партнерских программ могут выявить и избежать мошеннических партнерских программ, и какие шаги они могут предпринять, чтобы защитить себя и свою аудиторию?",Legal Service,Юриспруденция,7.54
Create an article that educates the public on tenant rights and responsibilities.,"Подготовь статью, которая информирует общественность о правах и обязанностях арендаторов.","Подготовь статью, которая информирует общественность о правах и обязанностях арендаторов.",Legal Service,Юриспруденция,7.51
"Please generate a cash flow statement based on the provided financial data. <include details of your requirements, if there are any>. Here is the financial data: <financial data>.","Составь отчет о движении денежных средств на основе предоставленных финансовых данных. <включите подробное описание ваших требований, если таковые имеются>. Вот финансовые данные: <финансовые данные>.","Составь отчет о движении денежных средств на основе предоставленных финансовых данных. Включи подробное описание ваших требований, если таковые имеются. Вот финансовые данные: <финансовые данные>.",Legal Service,Юриспруденция,7.42
Draft an employment contract for [position] with [salary and benefits information],Составь проект трудового договора на [должность] с [информацией об окладе и льготах].,Составь проект трудового договора на [должность] с [информацией об окладе и льготах].,Legal Service,Юриспруденция,7.42
"Draft a comprehensive guide on how to prepare for a personal injury lawsuit, including steps to take and documents needed.","Составь исчерпывающее руководство по подготовке к судебному разбирательству по делу о нанесении телесных повреждений, включая необходимые шаги и документы.","Составь исчерпывающее руководство по подготовке к судебному разбирательству по делу о нанесении телесных повреждений, включая необходимые шаги и документы.",Legal Service,Юриспруденция,7.38
Generate a professional email to request a meeting or consultation,Создай профессиональное электронное письмо с просьбой о встрече или консультации.,Создайте профессиональное электронное письмо с просьбой о встрече или консультации.,Legal Service,Юриспруденция,7.38
Generate a series of blog posts focusing on legal ethics and professional conduct for lawyers.,"Создай серию статей в блоге, посвященных юридической этике и профессиональному поведению юристов.","Создайте серию статей в блоге, посвященную юридической этике и профессиональному поведению юристов.",Legal Service,Юриспруденция,7.36
Generate an article discussing the tax implications and regulations around dropshipping.,Подготовь статью о налоговых последствиях и правилах дропшиппинга.,Подготовь статью о налоговых последствиях и правилах дропшиппинга.,Legal Service,Юриспруденция,7.36
"I need you to create a crisis communication plan for my business that includes potential scenarios and response strategies. Please ensure that the plan is clear, concise, and easily accessible.","Составь план антикризисных коммуникаций для моего бизнеса, включающий возможные сценарии и стратегии реагирования.","Составь план антикризисных коммуникаций для моего бизнеса, включающий возможные сценарии и стратегии реагирования.",Legal Service,Юриспруденция,7.36
Draft a legal opinion on the implications of a recent Supreme Court decision for civil liberties.,Составь юридическое заключение о последствиях недавнего решения Верховного суда для гражданских свобод.,Составь юридическое заключение о последствиях недавнего решения Верховного суда для гражданских свобод.,Legal Service,Юриспруденция,7.36
Write a memo summarizing recent case law on data privacy issues for a tech company.,Составь служебную записку с кратким изложением последних судебных прецедентов по вопросам конфиденциальности данных для технологической компании.,Составь служебную записку с кратким изложением последних судебных прецедентов по вопросам конфиденциальности данных для технологической компании.,Legal Service,Юриспруденция,7.36
"List out the top mistakes to avoid when building an email list regarding list acquisition, email content, subscriber engagement, and compliance with email marketing regulations.","Перечисли основные ошибки, которых следует избегать при создании списка адресов электронной почты.","Перечисли основные ошибки, которые следует избегать при создании списка адресов электронной почты.",Legal Service,Юриспруденция,7.32
Create a case study analyzing <case>. Provide background information on the case and explain its significance. Analyze the case from different angles and provide recommendations for how the case could have been handled differently. Use credible sources to support your analysis.,"Создай кейс, анализирующий ситуацию <case>.","Создайте кейс, анализирующий ситуацию <case>.",Legal Service,Юриспруденция,7.31
What are some strategies for diversifying my investment portfolio and reducing risk? Please include recommendations for different types of assets and investment vehicles.,Определи стратегии диверсификации моего инвестиционного портфеля и снижения риска.,Определи стратегии диверсификации инвестиционного портфеля и снижения риска.,Legal Service,Юриспруденция,7.31
How can blockchain technology improve business processes and boost security?,"Опиши, как технология блокчейн может улучшить бизнес-процессы и повысить безопасность.","Опиши, как технология блокчейн может улучшить бизнес-процессы и повысить безопасность.",Legal Service,Юриспруденция,7.29
"Craft a guide on legal considerations for virtual assistants, such as contracts and confidentiality.",Составь руководство по юридическим аспектам работы виртуальных помощников.,Составь руководство по юридическим аспектам работы виртуальных помощников.,Legal Service,Юриспруденция,7.27
